trial,scanTimestamp,repoName,imageTag,imageDigest,status,scanDurationMs,criticalCount,highCount,mediumCount,lowCount,totalVulns,reportFile
5,1762277509,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,SUCCESS,1467,80,,,,,local_scan_results/reports/python/3.7/trial_5_report.json
5,1762277510,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,SUCCESS,1173,54,,,,,local_scan_results/reports/node/18/trial_5_report.json
5,1762277511,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,SUCCESS,838,1,,,,,local_scan_results/reports/redis/latest/trial_5_report.json
5,1762277512,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,SUCCESS,808,,,,,,local_scan_results/reports/alpine/latest/trial_5_report.json
6,1762277513,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,SUCCESS,738,0,,,,,local_scan_results/reports/nginx/latest/trial_6_report.json
6,1762277514,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,SUCCESS,845,,,,,,local_scan_results/reports/mysql/latest/trial_6_report.json
6,1762277516,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,SUCCESS,1398,80,,,,,local_scan_results/reports/python/3.7/trial_6_report.json
6,1762277517,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,FAILED,0,0,0,0,0,0,local_scan_results/reports/node/18/trial_6_report.json
6,1762277518,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,FAILED,0,0,0,0,0,0,local_scan_results/reports/redis/latest/trial_6_report.json
6,1762277518,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,FAILED,0,0,0,0,0,0,local_scan_results/reports/alpine/latest/trial_6_report.json
7,1762277519,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,FAILED,0,0,0,0,0,0,local_scan_results/reports/nginx/latest/trial_7_report.json
7,1762277520,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,FAILED,0,0,0,0,0,0,local_scan_results/reports/mysql/latest/trial_7_report.json
7,1762277520,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,FAILED,0,0,0,0,0,0,local_scan_results/reports/python/3.7/trial_7_report.json
7,1762277521,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,FAILED,0,0,0,0,0,0,local_scan_results/reports/node/18/trial_7_report.json
7,1762277522,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,FAILED,0,0,0,0,0,0,local_scan_results/reports/redis/latest/trial_7_report.json
7,1762277523,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,FAILED,0,0,0,0,0,0,local_scan_results/reports/alpine/latest/trial_7_report.json
8,1762277523,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,FAILED,0,0,0,0,0,0,local_scan_results/reports/nginx/latest/trial_8_report.json
8,1762277524,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,FAILED,0,0,0,0,0,0,local_scan_results/reports/mysql/latest/trial_8_report.json
8,1762277525,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,FAILED,0,0,0,0,0,0,local_scan_results/reports/python/3.7/trial_8_report.json
8,1762277526,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,FAILED,0,0,0,0,0,0,local_scan_results/reports/node/18/trial_8_report.json
8,1762277527,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,FAILED,0,0,0,0,0,0,local_scan_results/reports/redis/latest/trial_8_report.json
8,1762277527,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,FAILED,0,0,0,0,0,0,local_scan_results/reports/alpine/latest/trial_8_report.json
9,1762277528,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,FAILED,0,0,0,0,0,0,local_scan_results/reports/nginx/latest/trial_9_report.json
9,1762277529,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,FAILED,0,0,0,0,0,0,local_scan_results/reports/mysql/latest/trial_9_report.json
9,1762277530,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,FAILED,0,0,0,0,0,0,local_scan_results/reports/python/3.7/trial_9_report.json
9,1762277530,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,FAILED,0,0,0,0,0,0,local_scan_results/reports/node/18/trial_9_report.json
9,1762277531,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,FAILED,0,0,0,0,0,0,local_scan_results/reports/redis/latest/trial_9_report.json
9,1762277532,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,FAILED,0,0,0,0,0,0,local_scan_results/reports/alpine/latest/trial_9_report.json
10,1762277533,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,FAILED,0,0,0,0,0,0,local_scan_results/reports/nginx/latest/trial_10_report.json
10,1762277534,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,FAILED,0,0,0,0,0,0,local_scan_results/reports/mysql/latest/trial_10_report.json
10,1762277534,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,FAILED,0,0,0,0,0,0,local_scan_results/reports/python/3.7/trial_10_report.json
10,1762277535,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,FAILED,0,0,0,0,0,0,local_scan_results/reports/node/18/trial_10_report.json
10,1762277536,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,FAILED,0,0,0,0,0,0,local_scan_results/reports/redis/latest/trial_10_report.json
10,1762277537,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,FAILED,0,0,0,0,0,0,local_scan_results/reports/alpine/latest/trial_10_report.json
1,1762281710,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,FAILED,0,0,0,0,0,0,local_scan_results/reports/nginx/latest/trial_1_report.json
1,1762281711,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,FAILED,0,0,0,0,0,0,local_scan_results/reports/mysql/latest/trial_1_report.json
1,1762281712,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,FAILED,0,0,0,0,0,0,local_scan_results/reports/python/3.7/trial_1_report.json
1,1762281712,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,FAILED,0,0,0,0,0,0,local_scan_results/reports/node/18/trial_1_report.json
1,1762281713,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,FAILED,0,0,0,0,0,0,local_scan_results/reports/redis/latest/trial_1_report.json
1,1762281714,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,FAILED,0,0,0,0,0,0,local_scan_results/reports/alpine/latest/trial_1_report.json
